name,id,country,languages,broadcast_area,categories,is_nsfw,logo
"3ABN Proclaim (W50CO2) Jacksonville, FL",W50CO2.us,US,eng,s/US-FL,local,false,https://cdn.tvpassport.com/image/station/100x100/proclaim.png
3D Barker Channel,3DBarkerChannel.ca,CA,eng,c/CA,,false,
3rd TV,3rdTV.gh,GH,eng,c/GH,,false,
3sat,3sat.de,DE,deu,c/DE,,false,https://www.sms.cz/kategorie/televize/bmp/loga/velka/3sat.png
4 Edu,4Edu.mm,MM,mya,c/MM,,false,
4 Eylül TV,4EylulTV.tr,TR,tur,c/TR,,false,
4 Fun Dance,4FunDance.pl,PL,pol,c/PL,,false,https://ocdn.eu/ptv2-images-transforms/1/Y8Vkrxsb2dvLW1pZ3JhdGVkLzRmdW4tZGFuY2UucG5nkpUCZADCw5UCACjCww
4 Fun Kids,4FunKids.pl,PL,pol,c/PL,,false,https://www.sms.cz/kategorie/televize/bmp/loga/velka/4funkids.png
4 Fun TV,4FunTV.pl,PL,pol,c/PL,,false,https://www.sms.cz/kategorie/televize/bmp/loga/velka/4funtv.png
4 Kanal,4Kanal.ua,UA,ukr,c/UA,,false,
4 Kurd,4Kurd.fr,FR,fra,c/FR,,false,
4+,4Plus.ch,CH,deu,c/CH,,false,https://services.sg101.prd.sctv.ch/content/images/tv/channel/7_image_7_w116.webp
4050 Channel,4050Channel.th,TH,tha,c/TH,,false,
48 News UK,48NewsUK.pk,PK,eng,c/PK,,false,
4E,4E.gr,GR,ell,c/GR,,false,https://www.cosmote.gr/portal/image/journal/article?img_id=56014332&amp;t=1544180299920
4K Heritage,4KHeritage.us,US,eng,c/US,,false,
4KUniverse,4KUniverse.us,US,eng,c/US,,false,
4Music,4Music.uk,UK,eng,c/UK,,false,https://d2n0069hmnqmmx.cloudfront.net/epgdata/1.0/newchanlogos/400/160/skychb1758.png
4Seven,4Seven.uk,UK,eng,c/UK,,false,https://services.sg101.prd.sctv.ch/content/images/tv/channel/1678_image_7_w116.webp
4TV News,4TVNews.in,IN,hin,c/IN,,false,
4U TV,4UTV.tr,TR,tur,c/TR,,false,
5 Gold,5Gold.il,IL,heb,c/IL,,false,
5 Kanal,5Kanal.kg,KG,kir,c/KG,,false,
5 Kanal,5Kanal.mk,MK,mkd,c/MK,,false,https://cdn.tvpassport.com/image/station/100x100/5kanal.png
5 Kanal,5Kanal.ru,RU,rus,c/RU,,false,https://avatars.mds.yandex.net/get-tv-channel-logos/69315/2a000001600802273a72e1640280961cfa0b/orig
5 Kanal,5Kanal.ua,UA,ukr,c/UA,,false,https://www.sms.cz/kategorie/televize/bmp/loga/velka/5kanal.png
5 Kanal International,5KanalInternational.ru,RU,rus,c/RU,,false,
5 Live,5Live.il,IL,heb,c/IL,,false,
5 Plus,5Plus.il,IL,heb,c/IL,,false,
5 Plus,5Plus.mm,MM,mya,c/MM,,false,
5 Select,5Select.uk,UK,eng,c/UK,,false,https://d2n0069hmnqmmx.cloudfront.net/epgdata/1.0/newchanlogos/400/160/skychb3028.png
5 Sport 4K,5Sport4K.il,IL,heb,c/IL,,false,
5 Star,5Star.uk,UK,eng,c/UK,,false,https://d2n0069hmnqmmx.cloudfront.net/epgdata/1.0/newchanlogos/400/160/skychb3023.png
5 StarMax,5StarMax.us,US,eng,c/US,,false,https://www.directv.com/images/logos/channels/dark/large/309.png
5 StarMax East,5StarMaxEast.us,US,eng,c/US,,false,https://cdn.tvpassport.com/image/station/100x100/5max.png
5 StarMax West,5StarMaxWest.us,US,eng,c/US,,false,https://cdn.tvpassport.com/image/station/100x100/5max.png
5 Stars,5Stars.il,IL,heb,c/IL,,false,
5 Thukhuma,5Thukhuma.mm,MM,mya,c/MM,,false,
5 Thukhuma 2,5Thukhuma2.mm,MM,mya,c/MM,,false,
5 USA,5USA.uk,UK,eng,c/UK,,false,https://otv-us-web.s3-us-west-2.amazonaws.com/logos/guide/2/Open/92x36_352/Source/24728/fiveusatv.png
5 USA +1,5USAPlus1.uk,UK,eng,c/UK,,false,
5+,5Plus.ch,CH,deu,c/CH,,false,https://services.sg101.prd.sctv.ch/content/images/tv/channel/8_image_7_w116.webp
